gene_symbol	flag	ClinVar_PL_record_count	interpretation
CRYBB3	low_record_burden	6	computed but semantic interpretation limited because record count < 20
CRYGB	low_record_burden	1	computed but semantic interpretation limited because record count < 20
CRYGD	low_record_burden	17	computed but semantic interpretation limited because record count < 20
CRYGS	low_record_burden	7	computed but semantic interpretation limited because record count < 20
CSDE1	low_record_burden	17	computed but semantic interpretation limited because record count < 20
CSF2RB	low_record_burden	1	computed but semantic interpretation limited because record count < 20
CSGALNACT1	low_record_burden	16	computed but semantic interpretation limited because record count < 20
CSMD1	low_record_burden	2	computed but semantic interpretation limited because record count < 20
CSNK1D	low_record_burden	2	computed but semantic interpretation limited because record count < 20
CSNK1E	low_record_burden	1	computed but semantic interpretation limited because record count < 20
CSNK1G1	low_record_burden	1	computed but semantic interpretation limited because record count < 20
CST3	low_record_burden	1	computed but semantic interpretation limited because record count < 20
CST6	low_record_burden	1	computed but semantic interpretation limited because record count < 20
CSTA	low_record_burden	7	computed but semantic interpretation limited because record count < 20
CSTF2	low_record_burden	1	computed but semantic interpretation limited because record count < 20
CT55	low_record_burden	1	computed but semantic interpretation limited because record count < 20
CTBP1	low_record_burden	2	computed but semantic interpretation limited because record count < 20
CTBP2	low_record_burden	3	computed but semantic interpretation limited because record count < 20
CTDP1	low_record_burden	1	computed but semantic interpretation limited because record count < 20
CTH	low_record_burden	4	computed but semantic interpretation limited because record count < 20
CTHRC1	low_record_burden	1	computed but semantic interpretation limited because record count < 20
CTNNA2	low_record_burden	8	computed but semantic interpretation limited because record count < 20
CTNNA3	low_record_burden	5	computed but semantic interpretation limited because record count < 20
CTNND2	low_record_burden	11	computed but semantic interpretation limited because record count < 20
CTPS1	low_record_burden	1	computed but semantic interpretation limited because record count < 20
CTR9	low_record_burden	17	computed but semantic interpretation limited because record count < 20
CTRC	low_record_burden	17	computed but semantic interpretation limited because record count < 20
CTU2	low_record_burden	8	computed but semantic interpretation limited because record count < 20
CUL2	low_record_burden	1	computed but semantic interpretation limited because record count < 20
CUX2	low_record_burden	4	computed but semantic interpretation limited because record count < 20
CXCR2	low_record_burden	6	computed but semantic interpretation limited because record count < 20
CXorf65	low_record_burden	1	computed but semantic interpretation limited because record count < 20
CYB561	low_record_burden	2	computed but semantic interpretation limited because record count < 20
CYB561D2	low_record_burden	1	computed but semantic interpretation limited because record count < 20
CYB5A	low_record_burden	3	computed but semantic interpretation limited because record count < 20
CYBC1	low_record_burden	5	computed but semantic interpretation limited because record count < 20
CYC1	low_record_burden	2	computed but semantic interpretation limited because record count < 20
CYCS	low_record_burden	7	computed but semantic interpretation limited because record count < 20
CYGB	low_record_burden	13	computed but semantic interpretation limited because record count < 20
CYP26B1	low_record_burden	6	computed but semantic interpretation limited because record count < 20
CYP26C1	low_record_burden	3	computed but semantic interpretation limited because record count < 20
CYP2C8	low_record_burden	1	computed but semantic interpretation limited because record count < 20
CYP2C9	low_record_burden	1	computed but semantic interpretation limited because record count < 20
CYP3A4	low_record_burden	2	computed but semantic interpretation limited because record count < 20
CYP51A1	low_record_burden	1	computed but semantic interpretation limited because record count < 20
CYP7A1	low_record_burden	1	computed but semantic interpretation limited because record count < 20
CYS1	low_record_burden	1	computed but semantic interpretation limited because record count < 20
DAAM2	low_record_burden	5	computed but semantic interpretation limited because record count < 20
DAB1	low_record_burden	1	computed but semantic interpretation limited because record count < 20
DACT1	low_record_burden	8	computed but semantic interpretation limited because record count < 20
DAGLA	low_record_burden	8	computed but semantic interpretation limited because record count < 20
DAND5	low_record_burden	1	computed but semantic interpretation limited because record count < 20
DAP3	low_record_burden	8	computed but semantic interpretation limited because record count < 20
DARS1	low_record_burden	11	computed but semantic interpretation limited because record count < 20
DAW1	low_record_burden	5	computed but semantic interpretation limited because record count < 20
DAZL	low_record_burden	2	computed but semantic interpretation limited because record count < 20
DBH	low_record_burden	10	computed but semantic interpretation limited because record count < 20
DBNL	low_record_burden	12	computed but semantic interpretation limited because record count < 20
DBR1	low_record_burden	1	computed but semantic interpretation limited because record count < 20
DCAF12L1	low_record_burden	1	computed but semantic interpretation limited because record count < 20
DCAF6	low_record_burden	9	computed but semantic interpretation limited because record count < 20
DCAF8	low_record_burden	1	computed but semantic interpretation limited because record count < 20
DCDC1	low_record_burden	1	computed but semantic interpretation limited because record count < 20
DCLRE1B	low_record_burden	6	computed but semantic interpretation limited because record count < 20
DCN	low_record_burden	5	computed but semantic interpretation limited because record count < 20
DCPS	low_record_burden	7	computed but semantic interpretation limited because record count < 20
DCT	low_record_burden	11	computed but semantic interpretation limited because record count < 20
DCTN1	low_record_burden	14	computed but semantic interpretation limited because record count < 20
DCTN5	low_record_burden	1	computed but semantic interpretation limited because record count < 20
DCXR	low_record_burden	1	computed but semantic interpretation limited because record count < 20
DDB1	low_record_burden	5	computed but semantic interpretation limited because record count < 20
DDB2	low_record_burden	15	computed but semantic interpretation limited because record count < 20
DDOST	low_record_burden	3	computed but semantic interpretation limited because record count < 20
DDRGK1	low_record_burden	3	computed but semantic interpretation limited because record count < 20
DDX17	low_record_burden	4	computed but semantic interpretation limited because record count < 20
DDX23	low_record_burden	5	computed but semantic interpretation limited because record count < 20
DDX25	low_record_burden	2	computed but semantic interpretation limited because record count < 20
DDX39A	low_record_burden	1	computed but semantic interpretation limited because record count < 20
DDX3Y	low_record_burden	4	computed but semantic interpretation limited because record count < 20
DDX53	low_record_burden	2	computed but semantic interpretation limited because record count < 20
DDX54	low_record_burden	3	computed but semantic interpretation limited because record count < 20
DDX59	low_record_burden	8	computed but semantic interpretation limited because record count < 20
DDX6	low_record_burden	8	computed but semantic interpretation limited because record count < 20
DEF6	low_record_burden	9	computed but semantic interpretation limited because record count < 20
DEGS1	low_record_burden	19	computed but semantic interpretation limited because record count < 20
DENND3	low_record_burden	1	computed but semantic interpretation limited because record count < 20
DENND4A	low_record_burden	1	computed but semantic interpretation limited because record count < 20
DENND4B	low_record_burden	1	computed but semantic interpretation limited because record count < 20
DENND5B	low_record_burden	1	computed but semantic interpretation limited because record count < 20
DGKG	low_record_burden	1	computed but semantic interpretation limited because record count < 20
DGKH	low_record_burden	1	computed but semantic interpretation limited because record count < 20
DGKZ	low_record_burden	1	computed but semantic interpretation limited because record count < 20
DHCR24	low_record_burden	6	computed but semantic interpretation limited because record count < 20
DHH	low_record_burden	19	computed but semantic interpretation limited because record count < 20
DHODH	low_record_burden	11	computed but semantic interpretation limited because record count < 20
DHPS	low_record_burden	5	computed but semantic interpretation limited because record count < 20
DHRS3	low_record_burden	2	computed but semantic interpretation limited because record count < 20
DHRSX	low_record_burden	1	computed but semantic interpretation limited because record count < 20
DHX16	low_record_burden	7	computed but semantic interpretation limited because record count < 20
DHX30	low_record_burden	19	computed but semantic interpretation limited because record count < 20
DHX34	low_record_burden	3	computed but semantic interpretation limited because record count < 20
DHX37	low_record_burden	15	computed but semantic interpretation limited because record count < 20
DHX38	low_record_burden	4	computed but semantic interpretation limited because record count < 20
DHX8	low_record_burden	1	computed but semantic interpretation limited because record count < 20
DHX9	low_record_burden	17	computed but semantic interpretation limited because record count < 20
DIABLO	low_record_burden	3	computed but semantic interpretation limited because record count < 20
DIAPH3	low_record_burden	1	computed but semantic interpretation limited because record count < 20
DIO1	low_record_burden	2	computed but semantic interpretation limited because record count < 20
DIP2A	low_record_burden	2	computed but semantic interpretation limited because record count < 20
DIP2B	low_record_burden	2	computed but semantic interpretation limited because record count < 20
DIP2C	low_record_burden	17	computed but semantic interpretation limited because record count < 20
DIS3	low_record_burden	2	computed but semantic interpretation limited because record count < 20
DISP1	low_record_burden	5	computed but semantic interpretation limited because record count < 20
DIXDC1	low_record_burden	1	computed but semantic interpretation limited because record count < 20
DKK3	low_record_burden	2	computed but semantic interpretation limited because record count < 20
DLAT	low_record_burden	17	computed but semantic interpretation limited because record count < 20
DLC1	low_record_burden	1	computed but semantic interpretation limited because record count < 20
DLG5	low_record_burden	3	computed but semantic interpretation limited because record count < 20
DLK1	low_record_burden	1	computed but semantic interpretation limited because record count < 20
DLX3	low_record_burden	8	computed but semantic interpretation limited because record count < 20
DLX5	low_record_burden	9	computed but semantic interpretation limited because record count < 20
DMAC2L	low_record_burden	2	computed but semantic interpretation limited because record count < 20
DMAP1	low_record_burden	1	computed but semantic interpretation limited because record count < 20
DMBX1	low_record_burden	1	computed but semantic interpretation limited because record count < 20
DMC1	low_record_burden	5	computed but semantic interpretation limited because record count < 20
DMGDH	low_record_burden	2	computed but semantic interpretation limited because record count < 20
DMP1	low_record_burden	18	computed but semantic interpretation limited because record count < 20
DMRT1	low_record_burden	9	computed but semantic interpretation limited because record count < 20
DMRT2	low_record_burden	2	computed but semantic interpretation limited because record count < 20
DMRT3	low_record_burden	1	computed but semantic interpretation limited because record count < 20
DNA2	low_record_burden	17	computed but semantic interpretation limited because record count < 20
DNAAF6	low_record_burden	12	computed but semantic interpretation limited because record count < 20
DNAH10	low_record_burden	6	computed but semantic interpretation limited because record count < 20
DNAH12	low_record_burden	2	computed but semantic interpretation limited because record count < 20
DNAH14	low_record_burden	2	computed but semantic interpretation limited because record count < 20
DNAH2	low_record_burden	7	computed but semantic interpretation limited because record count < 20
DNAH3	low_record_burden	4	computed but semantic interpretation limited because record count < 20
DNAH6	low_record_burden	1	computed but semantic interpretation limited because record count < 20
DNAH7	low_record_burden	7	computed but semantic interpretation limited because record count < 20
DNAJB13	low_record_burden	13	computed but semantic interpretation limited because record count < 20
DNAJB4	low_record_burden	4	computed but semantic interpretation limited because record count < 20
DNAJB6	low_record_burden	14	computed but semantic interpretation limited because record count < 20
DNAJC3	low_record_burden	10	computed but semantic interpretation limited because record count < 20
DNAJC30	low_record_burden	9	computed but semantic interpretation limited because record count < 20
DNAJC5	low_record_burden	4	computed but semantic interpretation limited because record count < 20
DNAJC6	low_record_burden	13	computed but semantic interpretation limited because record count < 20
DNAJC9	low_record_burden	3	computed but semantic interpretation limited because record count < 20
DNAL1	low_record_burden	10	computed but semantic interpretation limited because record count < 20
DNAL4	low_record_burden	1	computed but semantic interpretation limited because record count < 20
DNALI1	low_record_burden	1	computed but semantic interpretation limited because record count < 20
DNASE1	low_record_burden	2	computed but semantic interpretation limited because record count < 20
DNASE1L1	low_record_burden	8	computed but semantic interpretation limited because record count < 20
DNASE1L3	low_record_burden	18	computed but semantic interpretation limited because record count < 20
DNASE2	low_record_burden	3	computed but semantic interpretation limited because record count < 20
DNMBP	low_record_burden	5	computed but semantic interpretation limited because record count < 20
DNMT1	low_record_burden	13	computed but semantic interpretation limited because record count < 20
DOCK1	low_record_burden	1	computed but semantic interpretation limited because record count < 20
DOCK11	low_record_burden	14	computed but semantic interpretation limited because record count < 20
DOCK3	low_record_burden	11	computed but semantic interpretation limited because record count < 20
DOCK4	low_record_burden	3	computed but semantic interpretation limited because record count < 20
DOHH	low_record_burden	5	computed but semantic interpretation limited because record count < 20
DOK1	low_record_burden	3	computed but semantic interpretation limited because record count < 20
DOLK	low_record_burden	14	computed but semantic interpretation limited because record count < 20
DOP1A	low_record_burden	8	computed but semantic interpretation limited because record count < 20
DOT1L	low_record_burden	9	computed but semantic interpretation limited because record count < 20
DPF2	low_record_burden	17	computed but semantic interpretation limited because record count < 20
DPH1	low_record_burden	14	computed but semantic interpretation limited because record count < 20
DPH2	low_record_burden	3	computed but semantic interpretation limited because record count < 20
DPH5	low_record_burden	3	computed but semantic interpretation limited because record count < 20
DPM2	low_record_burden	9	computed but semantic interpretation limited because record count < 20
DPM3	low_record_burden	13	computed but semantic interpretation limited because record count < 20
DPP6	low_record_burden	2	computed but semantic interpretation limited because record count < 20
DPP9	low_record_burden	4	computed but semantic interpretation limited because record count < 20
DPPA2	low_record_burden	1	computed but semantic interpretation limited because record count < 20
DPRX	low_record_burden	1	computed but semantic interpretation limited because record count < 20
DPT	low_record_burden	1	computed but semantic interpretation limited because record count < 20
DPY19L2	low_record_burden	7	computed but semantic interpretation limited because record count < 20
DPYSL2	low_record_burden	1	computed but semantic interpretation limited because record count < 20
DPYSL5	low_record_burden	1	computed but semantic interpretation limited because record count < 20
DRC2	low_record_burden	19	computed but semantic interpretation limited because record count < 20
DRC4	low_record_burden	19	computed but semantic interpretation limited because record count < 20
DRC9	low_record_burden	7	computed but semantic interpretation limited because record count < 20
DRD4	low_record_burden	1	computed but semantic interpretation limited because record count < 20
DRG1	low_record_burden	5	computed but semantic interpretation limited because record count < 20
DROSHA	low_record_burden	9	computed but semantic interpretation limited because record count < 20
DRP2	low_record_burden	17	computed but semantic interpretation limited because record count < 20
DSC3	low_record_burden	7	computed but semantic interpretation limited because record count < 20
DSCAM	low_record_burden	6	computed but semantic interpretation limited because record count < 20
DSE	low_record_burden	15	computed but semantic interpretation limited because record count < 20
DSG3	low_record_burden	1	computed but semantic interpretation limited because record count < 20
DSG4	low_record_burden	17	computed but semantic interpretation limited because record count < 20
DSTYK	low_record_burden	6	computed but semantic interpretation limited because record count < 20
DTNA	low_record_burden	1	computed but semantic interpretation limited because record count < 20
DTNBP1	low_record_burden	15	computed but semantic interpretation limited because record count < 20
DTYMK	low_record_burden	5	computed but semantic interpretation limited because record count < 20
DUOXA1	low_record_burden	2	computed but semantic interpretation limited because record count < 20
DUS1L	low_record_burden	1	computed but semantic interpretation limited because record count < 20
DUS4L	low_record_burden	1	computed but semantic interpretation limited because record count < 20
DUSP6	low_record_burden	1	computed but semantic interpretation limited because record count < 20
DUT	low_record_burden	1	computed but semantic interpretation limited because record count < 20
DVL2	low_record_burden	4	computed but semantic interpretation limited because record count < 20
DVL3	low_record_burden	19	computed but semantic interpretation limited because record count < 20
DYNC1I2	low_record_burden	5	computed but semantic interpretation limited because record count < 20
DYNLT2B	low_record_burden	8	computed but semantic interpretation limited because record count < 20
DYRK1B	low_record_burden	2	computed but semantic interpretation limited because record count < 20
DZIP1	low_record_burden	2	computed but semantic interpretation limited because record count < 20
DZIP1L	low_record_burden	17	computed but semantic interpretation limited because record count < 20
E2F6	low_record_burden	1	computed but semantic interpretation limited because record count < 20
E4F1	low_record_burden	1	computed but semantic interpretation limited because record count < 20
ECE1	low_record_burden	4	computed but semantic interpretation limited because record count < 20
ECHDC1	low_record_burden	3	computed but semantic interpretation limited because record count < 20
EDA2R	low_record_burden	1	computed but semantic interpretation limited because record count < 20
EDARADD	low_record_burden	16	computed but semantic interpretation limited because record count < 20
EDC3	low_record_burden	2	computed but semantic interpretation limited because record count < 20
EDEM3	low_record_burden	15	computed but semantic interpretation limited because record count < 20
EDN1	low_record_burden	4	computed but semantic interpretation limited because record count < 20
EDN3	low_record_burden	7	computed but semantic interpretation limited because record count < 20
EDNRA	low_record_burden	2	computed but semantic interpretation limited because record count < 20
EED	low_record_burden	13	computed but semantic interpretation limited because record count < 20
EEF1AKMT4	low_record_burden	1	computed but semantic interpretation limited because record count < 20
EEF1B2	low_record_burden	3	computed but semantic interpretation limited because record count < 20
EEF1D	low_record_burden	9	computed but semantic interpretation limited because record count < 20
EEF2	low_record_burden	7	computed but semantic interpretation limited because record count < 20
EEF2KMT	low_record_burden	4	computed but semantic interpretation limited because record count < 20
EEFSEC	low_record_burden	4	computed but semantic interpretation limited because record count < 20
EFCAB10	low_record_burden	4	computed but semantic interpretation limited because record count < 20
EFEMP1	low_record_burden	14	computed but semantic interpretation limited because record count < 20
EFHC1	low_record_burden	1	computed but semantic interpretation limited because record count < 20
EFL1	low_record_burden	5	computed but semantic interpretation limited because record count < 20
EFNB2	low_record_burden	1	computed but semantic interpretation limited because record count < 20
EGF	low_record_burden	2	computed but semantic interpretation limited because record count < 20
EGLN1	low_record_burden	15	computed but semantic interpretation limited because record count < 20
EGR2	low_record_burden	18	computed but semantic interpretation limited because record count < 20
EHBP1L1	low_record_burden	1	computed but semantic interpretation limited because record count < 20
EHMT2	low_record_burden	7	computed but semantic interpretation limited because record count < 20
EI24	low_record_burden	1	computed but semantic interpretation limited because record count < 20
EIF1AX	low_record_burden	1	computed but semantic interpretation limited because record count < 20
EIF2AK1	low_record_burden	3	computed but semantic interpretation limited because record count < 20
EIF2AK2	low_record_burden	4	computed but semantic interpretation limited because record count < 20
EIF2B3	low_record_burden	16	computed but semantic interpretation limited because record count < 20
EIF2S3	low_record_burden	8	computed but semantic interpretation limited because record count < 20
EIF3F	low_record_burden	4	computed but semantic interpretation limited because record count < 20
EIF4A2	low_record_burden	18	computed but semantic interpretation limited because record count < 20
EIF4A3	low_record_burden	1	computed but semantic interpretation limited because record count < 20
EIF4G3	low_record_burden	1	computed but semantic interpretation limited because record count < 20
EIF5A	low_record_burden	14	computed but semantic interpretation limited because record count < 20
ELF2	low_record_burden	1	computed but semantic interpretation limited because record count < 20
ELF4	low_record_burden	8	computed but semantic interpretation limited because record count < 20
ELFN1	low_record_burden	5	computed but semantic interpretation limited because record count < 20
ELMO2	low_record_burden	7	computed but semantic interpretation limited because record count < 20
ELMOD3	low_record_burden	1	computed but semantic interpretation limited because record count < 20
ELOVL1	low_record_burden	1	computed but semantic interpretation limited because record count < 20
ELOVL5	low_record_burden	2	computed but semantic interpretation limited because record count < 20
ELP2	low_record_burden	17	computed but semantic interpretation limited because record count < 20
ELP4	low_record_burden	19	computed but semantic interpretation limited because record count < 20
ELP6	low_record_burden	1	computed but semantic interpretation limited because record count < 20
EMC10	low_record_burden	13	computed but semantic interpretation limited because record count < 20
EME2	low_record_burden	4	computed but semantic interpretation limited because record count < 20
EMG1	low_record_burden	1	computed but semantic interpretation limited because record count < 20
EMILIN1	low_record_burden	6	computed but semantic interpretation limited because record count < 20
EML1	low_record_burden	10	computed but semantic interpretation limited because record count < 20
EML6	low_record_burden	1	computed but semantic interpretation limited because record count < 20
EMP2	low_record_burden	3	computed but semantic interpretation limited because record count < 20
EMX2	low_record_burden	6	computed but semantic interpretation limited because record count < 20
EN1	low_record_burden	1	computed but semantic interpretation limited because record count < 20
ENAM	low_record_burden	15	computed but semantic interpretation limited because record count < 20
ENO3	low_record_burden	4	computed but semantic interpretation limited because record count < 20
ENOSF1	low_record_burden	4	computed but semantic interpretation limited because record count < 20
ENTPD1	low_record_burden	17	computed but semantic interpretation limited because record count < 20
ENTPD2	low_record_burden	1	computed but semantic interpretation limited because record count < 20
ENTREP2	low_record_burden	2	computed but semantic interpretation limited because record count < 20
EOGT	low_record_burden	13	computed but semantic interpretation limited because record count < 20
EPAS1	low_record_burden	8	computed but semantic interpretation limited because record count < 20
EPB41L1	low_record_burden	1	computed but semantic interpretation limited because record count < 20
EPB41L4A	low_record_burden	1	computed but semantic interpretation limited because record count < 20
EPB42	low_record_burden	19	computed but semantic interpretation limited because record count < 20
EPHA10	low_record_burden	1	computed but semantic interpretation limited because record count < 20
EPHA2	low_record_burden	17	computed but semantic interpretation limited because record count < 20
EPHA4	low_record_burden	2	computed but semantic interpretation limited because record count < 20
EPHB2	low_record_burden	2	computed but semantic interpretation limited because record count < 20
EPHX1	low_record_burden	1	computed but semantic interpretation limited because record count < 20
EPO	low_record_burden	3	computed but semantic interpretation limited because record count < 20
EPOR	low_record_burden	5	computed but semantic interpretation limited because record count < 20
EPRS1	low_record_burden	18	computed but semantic interpretation limited because record count < 20
EPS8	low_record_burden	13	computed but semantic interpretation limited because record count < 20
ERAL1	low_record_burden	1	computed but semantic interpretation limited because record count < 20
ERAP1	low_record_burden	3	computed but semantic interpretation limited because record count < 20
ERBB4	low_record_burden	10	computed but semantic interpretation limited because record count < 20
ERC1	low_record_burden	1	computed but semantic interpretation limited because record count < 20
ERCC1	low_record_burden	15	computed but semantic interpretation limited because record count < 20
ERG	low_record_burden	3	computed but semantic interpretation limited because record count < 20
ERGIC1	low_record_burden	2	computed but semantic interpretation limited because record count < 20
ERGIC2	low_record_burden	1	computed but semantic interpretation limited because record count < 20
ERGIC3	low_record_burden	1	computed but semantic interpretation limited because record count < 20
ERI1	low_record_burden	13	computed but semantic interpretation limited because record count < 20
ERLEC1	low_record_burden	4	computed but semantic interpretation limited because record count < 20
ERLIN1	low_record_burden	5	computed but semantic interpretation limited because record count < 20
ERMAP	low_record_burden	1	computed but semantic interpretation limited because record count < 20
ERMARD	low_record_burden	4	computed but semantic interpretation limited because record count < 20
ESAM	low_record_burden	7	computed but semantic interpretation limited because record count < 20
ESR1	low_record_burden	6	computed but semantic interpretation limited because record count < 20
ESR2	low_record_burden	1	computed but semantic interpretation limited because record count < 20
ESRP1	low_record_burden	2	computed but semantic interpretation limited because record count < 20
ESRP2	low_record_burden	2	computed but semantic interpretation limited because record count < 20
ESRRG	low_record_burden	5	computed but semantic interpretation limited because record count < 20
ESX1	low_record_burden	1	computed but semantic interpretation limited because record count < 20
ETS1	low_record_burden	2	computed but semantic interpretation limited because record count < 20
ETV2	low_record_burden	2	computed but semantic interpretation limited because record count < 20
ETV4	low_record_burden	1	computed but semantic interpretation limited because record count < 20
ETV5	low_record_burden	1	computed but semantic interpretation limited because record count < 20
EVI2A	low_record_burden	3	computed but semantic interpretation limited because record count < 20
EVX2	low_record_burden	1	computed but semantic interpretation limited because record count < 20
EXO1	low_record_burden	1	computed but semantic interpretation limited because record count < 20
EXOC2	low_record_burden	1	computed but semantic interpretation limited because record count < 20
EXOC3L2	low_record_burden	3	computed but semantic interpretation limited because record count < 20
EXOC4	low_record_burden	1	computed but semantic interpretation limited because record count < 20
EXOC6B	low_record_burden	13	computed but semantic interpretation limited because record count < 20
EXOC7	low_record_burden	5	computed but semantic interpretation limited because record count < 20
EXOC8	low_record_burden	2	computed but semantic interpretation limited because record count < 20
EXOSC1	low_record_burden	1	computed but semantic interpretation limited because record count < 20
EXOSC2	low_record_burden	2	computed but semantic interpretation limited because record count < 20
EXOSC5	low_record_burden	6	computed but semantic interpretation limited because record count < 20
EXOSC8	low_record_burden	2	computed but semantic interpretation limited because record count < 20
EXPH5	low_record_burden	15	computed but semantic interpretation limited because record count < 20
EXTL3	low_record_burden	2	computed but semantic interpretation limited because record count < 20
EZH1	low_record_burden	5	computed but semantic interpretation limited because record count < 20
F12	low_record_burden	19	computed but semantic interpretation limited because record count < 20
F13B	low_record_burden	16	computed but semantic interpretation limited because record count < 20
FAAH	low_record_burden	1	computed but semantic interpretation limited because record count < 20
FAAH2	low_record_burden	2	computed but semantic interpretation limited because record count < 20
FAAP100	low_record_burden	4	computed but semantic interpretation limited because record count < 20
FADD	low_record_burden	2	computed but semantic interpretation limited because record count < 20
FAHD1	low_record_burden	5	computed but semantic interpretation limited because record count < 20
FAM110C	low_record_burden	2	computed but semantic interpretation limited because record count < 20
FAM111A	low_record_burden	7	computed but semantic interpretation limited because record count < 20
FAM111B	low_record_burden	7	computed but semantic interpretation limited because record count < 20
FAM120AOS	low_record_burden	1	computed but semantic interpretation limited because record count < 20
FAM131B	low_record_burden	1	computed but semantic interpretation limited because record count < 20
FAM136A	low_record_burden	1	computed but semantic interpretation limited because record count < 20
FAM149B1	low_record_burden	10	computed but semantic interpretation limited because record count < 20
FAM167A	low_record_burden	1	computed but semantic interpretation limited because record count < 20
FAM171A2	low_record_burden	1	computed but semantic interpretation limited because record count < 20
FAM177A1	low_record_burden	6	computed but semantic interpretation limited because record count < 20
FAM186B	low_record_burden	1	computed but semantic interpretation limited because record count < 20
FAM222A	low_record_burden	1	computed but semantic interpretation limited because record count < 20
FAM50A	low_record_burden	5	computed but semantic interpretation limited because record count < 20
FAM83H	low_record_burden	4	computed but semantic interpretation limited because record count < 20
FAM98C	low_record_burden	1	computed but semantic interpretation limited because record count < 20
FAR1	low_record_burden	15	computed but semantic interpretation limited because record count < 20
FARSA	low_record_burden	4	computed but semantic interpretation limited because record count < 20
FARSB	low_record_burden	13	computed but semantic interpretation limited because record count < 20
FASLG	low_record_burden	6	computed but semantic interpretation limited because record count < 20
FASN	low_record_burden	1	computed but semantic interpretation limited because record count < 20
FASTKD1	low_record_burden	1	computed but semantic interpretation limited because record count < 20
FASTKD5	low_record_burden	5	computed but semantic interpretation limited because record count < 20
FAT2	low_record_burden	1	computed but semantic interpretation limited because record count < 20
FBLN5	low_record_burden	7	computed but semantic interpretation limited because record count < 20
FBRS	low_record_burden	2	computed but semantic interpretation limited because record count < 20
FBRSL1	low_record_burden	1	computed but semantic interpretation limited because record count < 20
FBXL3	low_record_burden	4	computed but semantic interpretation limited because record count < 20
FBXO22	low_record_burden	4	computed but semantic interpretation limited because record count < 20
FBXO28	low_record_burden	9	computed but semantic interpretation limited because record count < 20
FBXO31	low_record_burden	3	computed but semantic interpretation limited because record count < 20
FBXO32	low_record_burden	1	computed but semantic interpretation limited because record count < 20
FBXO38	low_record_burden	2	computed but semantic interpretation limited because record count < 20
FBXO43	low_record_burden	4	computed but semantic interpretation limited because record count < 20
FBXW11	low_record_burden	8	computed but semantic interpretation limited because record count < 20
FCN2	low_record_burden	1	computed but semantic interpretation limited because record count < 20
FCN3	low_record_burden	3	computed but semantic interpretation limited because record count < 20
FCSK	low_record_burden	5	computed but semantic interpretation limited because record count < 20
FDFT1	low_record_burden	3	computed but semantic interpretation limited because record count < 20
FDPS	low_record_burden	4	computed but semantic interpretation limited because record count < 20
FDX2	low_record_burden	3	computed but semantic interpretation limited because record count < 20
FEM1B	low_record_burden	1	computed but semantic interpretation limited because record count < 20
FEM1C	low_record_burden	1	computed but semantic interpretation limited because record count < 20
FERRY3	low_record_burden	19	computed but semantic interpretation limited because record count < 20
FEZF1	low_record_burden	2	computed but semantic interpretation limited because record count < 20
FEZF2	low_record_burden	5	computed but semantic interpretation limited because record count < 20
FFAR1	low_record_burden	1	computed but semantic interpretation limited because record count < 20
FFAR4	low_record_burden	1	computed but semantic interpretation limited because record count < 20
FGB	low_record_burden	17	computed but semantic interpretation limited because record count < 20
FGF12	low_record_burden	5	computed but semantic interpretation limited because record count < 20
FGF13	low_record_burden	6	computed but semantic interpretation limited because record count < 20
FGF14	low_record_burden	18	computed but semantic interpretation limited because record count < 20
FGF16	low_record_burden	4	computed but semantic interpretation limited because record count < 20
FGF17	low_record_burden	1	computed but semantic interpretation limited because record count < 20
FGF20	low_record_burden	2	computed but semantic interpretation limited because record count < 20
FGF23	low_record_burden	13	computed but semantic interpretation limited because record count < 20
FGF4	low_record_burden	1	computed but semantic interpretation limited because record count < 20
FGF5	low_record_burden	3	computed but semantic interpretation limited because record count < 20
FGF8	low_record_burden	18	computed but semantic interpretation limited because record count < 20
FGF9	low_record_burden	5	computed but semantic interpretation limited because record count < 20
FHIP2A	low_record_burden	1	computed but semantic interpretation limited because record count < 20
FHIT	low_record_burden	1	computed but semantic interpretation limited because record count < 20
FHOD3	low_record_burden	5	computed but semantic interpretation limited because record count < 20
FIBP	low_record_burden	5	computed but semantic interpretation limited because record count < 20
FIGLA	low_record_burden	6	computed but semantic interpretation limited because record count < 20
FILIP1	low_record_burden	6	computed but semantic interpretation limited because record count < 20
FITM2	low_record_burden	11	computed but semantic interpretation limited because record count < 20
FKBP6	low_record_burden	5	computed but semantic interpretation limited because record count < 20
FLG2	low_record_burden	4	computed but semantic interpretation limited because record count < 20
FLI1	low_record_burden	9	computed but semantic interpretation limited because record count < 20
FLII	low_record_burden	3	computed but semantic interpretation limited because record count < 20
FLRT3	low_record_burden	1	computed but semantic interpretation limited because record count < 20
FLT3	low_record_burden	12	computed but semantic interpretation limited because record count < 20
FLT3LG	low_record_burden	1	computed but semantic interpretation limited because record count < 20
FMC1	low_record_burden	1	computed but semantic interpretation limited because record count < 20
FMN1	low_record_burden	2	computed but semantic interpretation limited because record count < 20
FMN2	low_record_burden	17	computed but semantic interpretation limited because record count < 20
FMNL2	low_record_burden	1	computed but semantic interpretation limited because record count < 20
FNTA	low_record_burden	1	computed but semantic interpretation limited because record count < 20
FOCAD	low_record_burden	13	computed but semantic interpretation limited because record count < 20
FOS	low_record_burden	1	computed but semantic interpretation limited because record count < 20
